MulSimple, MulCache, SumnSimple, SumnRetursion, SumnOP, SumnStep2, CompilerMul, CompilerSum, Muln, Sumn, iterations
11.3213,5.74779,0.0406748,2.98143,1.76459,0.00092858,arm-linux-gnueabi-g++ -O2 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O2 -fopenmp -static -o mmul MMul.cpp,1600,20,100
16.8411,7.23159,0.0481891,11.921,7.24629,0.00272754,arm-linux-gnueabi-g++ -O2 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O2 -fopenmp -static -o mmul MMul.cpp,1800,22,100
21.2976,9.01825,0.0476729,47.0231,28.7379,0.0031087,arm-linux-gnueabi-g++ -O2 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O2 -fopenmp -static -o mmul MMul.cpp,2000,24,100
25.1738,10.9558,0.0502608,190.45,114.119,0.00335155,arm-linux-gnueabi-g++ -O2 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O2 -fopenmp -static -o mmul MMul.cpp,2200,26,100
0.13085,0.142841,0.0389579,0.0297837,0.0271517,0.00054389,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o mmul MMul.cpp,200,6,100
0.455617,0.411754,0.0400004,0.0288188,0.0279454,0.00047044,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o mmul MMul.cpp,400,8,100
0.901745,0.852067,0.0878252,0.0319358,0.0291596,0.00050195,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o mmul MMul.cpp,600,10,100
1.74139,1.44035,0.0373859,0.0375856,0.0339984,0.00051349,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o mmul MMul.cpp,800,12,100
2.61583,2.23821,0.0370164,0.07075,0.0542824,0.00049856,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o mmul MMul.cpp,1000,14,100
4.34434,3.17101,0.0378454,0.207586,0.135028,0.00052328,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o mmul MMul.cpp,1200,16,100
6.87787,4.31349,0.0400721,0.753061,0.454737,0.00054045,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o mmul MMul.cpp,1400,18,100
8.79625,5.64771,0.0384074,2.91169,1.70654,0.00058701,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o mmul MMul.cpp,1600,20,100
14.8812,7.14723,0.044852,11.5465,6.82714,0.00191436,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o mmul MMul.cpp,1800,22,100
19.3555,8.85753,0.0453979,45.495,27.1292,0.00284888,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o mmul MMul.cpp,2000,24,100
24.6222,10.7839,0.0468203,183.602,110.292,0.0029614,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o mmul MMul.cpp,2200,26,100
0.108844,0.139082,0.0366959,0.0276199,0.0257148,0.00044297,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o sumn Sumn.cpp,arm-linux-gnueabi-g++ -O3 -fopenmp -static -o mmul MMul.cpp,200,6,100
